shipment_id,origin,destination,distance_km,cargo_type,vehicle_type,departure_time,hour,cargo_weight,traffic_level,weather,status,delay_hours
SHP00036,Bangalore,Nairobi,1467.7,general,air,2024-11-26 17:21,17,1241.9,0.98,clear,delayed,9.27
SHP00037,Berlin,Delhi,631.2,clothing,rail,2023-11-18 13:38,13,1244.9,0.92,storm,delayed,14.03
SHP00038,Delhi,Toronto,2236.7,general,van,2024-01-08 13:04,13,6269.2,0.73,rain,delayed,8.14
SHP00039,Amsterdam,Shanghai,1615.5,clothing,rail,2024-02-17 22:18,22,1360.1,0.54,storm,in_transit,0.0
SHP00040,Dubai,Singapore,1574.7,general,truck,2023-11-08 09:13,9,7879.0,0.69,fog,delayed,14.97
SHP00041,Houston,Miami,3410.6,general,air,2023-06-23 21:05,21,5203.0,0.71,rain,delayed,11.1
SHP00042,Cairo,Paris,3396.7,medicine,van,2023-05-31 00:02,0,9841.0,0.69,cloudy,delivered,0.0
SHP00043,Los Angeles,Sydney,2920.8,clothing,air,2024-02-14 07:09,7,8937.3,0.89,clear,delivered,0.0
SHP00044,Paris,Hyderabad,4040.1,general,air,2023-02-21 17:15,17,4619.0,0.84,clear,delivered,0.0
SHP00045,Cairo,Houston,3102.0,general,air,2024-07-15 14:57,14,7462.2,0.58,cloudy,delayed,8.51
SHP00046,Paris,Sydney,1458.8,general,air,2024-10-03 07:17,7,867.1,0.43,fog,delayed,10.65
SHP00047,Madrid,Singapore,494.8,medicine,van,2024-01-28 22:09,22,735.9,0.53,cloudy,delivered,0.0
SHP00048,Delhi,Paris,4181.2,clothing,truck,2024-08-12 12:30,12,9433.1,0.44,clear,delayed,14.49
SHP00049,Los Angeles,Singapore,3762.8,general,van,2024-05-14 07:17,7,4907.9,0.51,fog,delayed,15.56
SHP00050,Nairobi,Chicago,3648.5,clothing,van,2024-09-29 17:01,17,5959.7,0.73,fog,delayed,13.11
SHP00051,Los Angeles,Kolkata,4347.6,medicine,truck,2023-09-24 12:20,12,4601.5,0.47,cloudy,delivered,0.0
SHP00052,Cairo,Los Angeles,1336.1,electronics,air,2023-01-20 23:34,23,9999.1,0.48,clear,in_transit,0.0
SHP00053,Cairo,Mumbai,4753.1,medicine,truck,2024-09-28 04:15,4,4788.3,0.29,cloudy,delivered,0.0
SHP00054,São Paulo,Berlin,3857.8,medicine,truck,2023-06-17 09:06,9,354.2,0.45,storm,delayed,21.38
SHP00055,Chicago,Los Angeles,4713.2,medicine,truck,2024-08-29 22:53,22,1108.8,0.82,cloudy,in_transit,0.0
SHP00056,Nairobi,Singapore,3934.9,food,air,2024-11-08 11:04,11,6510.7,0.21,storm,delayed,11.07
SHP00057,Miami,Chennai,2224.3,food,air,2024-12-25 04:27,4,7364.6,0.97,cloudy,delayed,11.07
SHP00058,Nairobi,Shanghai,3895.7,clothing,air,2024-08-29 08:20,8,8324.2,0.27,cloudy,in_transit,0.0
SHP00059,Cairo,Houston,2892.3,clothing,rail,2023-01-30 15:54,15,1900.2,0.37,rain,delivered,0.0
SHP00060,Berlin,Bangkok,3535.8,food,truck,2024-06-13 06:05,6,7228.7,0.59,cloudy,delivered,0.0
SHP00061,Bangkok,Toronto,2505.0,electronics,truck,2023-10-29 07:25,7,3131.4,0.67,cloudy,delayed,6.1
SHP00062,Tokyo,New York,2185.0,general,rail,2023-12-27 22:29,22,3135.6,0.38,rain,delivered,0.0
SHP00063,Chennai,Cairo,2725.7,medicine,van,2023-08-10 23:30,23,7273.4,0.98,rain,delayed,10.35
SHP00064,Amsterdam,Chennai,4179.9,food,van,2024-01-05 05:19,5,7109.4,0.3,clear,delayed,9.33
SHP00065,Delhi,Singapore,1531.5,medicine,air,2023-04-16 00:36,0,4747.0,0.55,rain,delayed,13.05
SHP00066,Delhi,Amsterdam,4711.2,clothing,truck,2023-03-08 12:31,12,5812.5,0.75,clear,delayed,11.57
SHP00067,Nairobi,Singapore,4750.7,electronics,van,2023-05-02 17:48,17,6102.5,0.83,fog,delayed,18.46
SHP00068,Tokyo,Chicago,2307.5,clothing,rail,2024-08-25 13:19,13,6248.2,0.69,storm,in_transit,0.0
SHP00069,Bangkok,London,1396.8,electronics,van,2023-09-03 05:35,5,1649.7,0.53,clear,delivered,0.0
SHP00070,Amsterdam,Delhi,1234.2,food,air,2023-03-14 21:14,21,7899.5,0.7,rain,in_transit,0.0
SHP00071,Los Angeles,Chennai,2768.4,medicine,rail,2023-05-26 02:03,2,7947.0,0.68,cloudy,delivered,0.0
SHP00072,Houston,Chennai,2396.6,food,air,2023-10-06 16:34,16,4433.8,0.68,fog,delivered,0.0
SHP00073,Dubai,Berlin,226.7,medicine,truck,2024-11-19 08:36,8,7654.8,0.34,clear,delivered,0.0
SHP00074,Berlin,Hyderabad,4985.0,clothing,air,2023-04-04 15:22,15,3399.8,0.74,fog,delivered,0.0
SHP00075,Los Angeles,Toronto,2527.8,clothing,truck,2024-04-10 02:20,2,3300.4,0.98,rain,delayed,11.99
SHP00076,Tokyo,Mumbai,3322.5,general,air,2024-02-28 01:12,1,3681.6,0.81,storm,delayed,12.2
SHP00077,Cairo,Delhi,1097.4,general,van,2023-10-22 14:56,14,1302.1,0.98,fog,in_transit,0.0
SHP00078,São Paulo,Hyderabad,1622.7,electronics,air,2023-04-06 07:53,7,4668.3,0.29,clear,delivered,0.0
SHP00079,São Paulo,Amsterdam,2593.5,food,air,2024-05-09 15:15,15,5557.5,0.51,fog,in_transit,0.0
SHP00080,Bangalore,Amsterdam,3886.1,clothing,rail,2024-06-03 08:52,8,2900.1,0.44,clear,delivered,0.0
SHP00081,Kolkata,Miami,2739.0,food,rail,2024-07-19 17:24,17,9335.2,0.9,fog,in_transit,0.0
SHP00082,Singapore,Chicago,1244.5,clothing,truck,2023-11-22 23:30,23,3922.2,0.73,fog,in_transit,0.0
SHP00083,Miami,Delhi,718.6,general,rail,2023-04-13 14:06,14,9113.4,0.21,storm,delayed,8.47
SHP00084,Bangkok,Kolkata,466.7,food,rail,2024-09-30 22:25,22,8532.5,0.88,clear,delivered,0.0
SHP00085,Madrid,Sydney,3621.7,clothing,truck,2024-09-24 02:15,2,9974.5,0.8,rain,delayed,11.96
SHP00086,Chennai,Nairobi,3205.4,electronics,air,2023-06-20 22:19,22,555.3,0.84,clear,delayed,13.57
SHP00087,New York,Houston,813.3,general,air,2024-08-02 21:50,21,1782.8,0.26,cloudy,in_transit,0.0
SHP00088,Miami,Dubai,801.3,clothing,rail,2024-04-15 08:42,8,8999.2,0.57,clear,delayed,8.93
SHP00089,Shanghai,Hyderabad,461.9,food,rail,2024-10-16 13:44,13,4622.7,0.44,rain,delivered,0.0
SHP00090,Chennai,Berlin,1968.7,food,rail,2024-12-17 09:01,9,2817.4,0.65,fog,in_transit,0.0
SHP00091,Dubai,Cairo,2534.0,food,van,2024-09-13 11:14,11,6246.8,0.74,cloudy,in_transit,0.0
SHP00092,Bangkok,Chennai,4526.7,electronics,rail,2024-03-27 01:37,1,7350.4,0.27,rain,delayed,7.32
SHP00093,Toronto,Los Angeles,960.6,medicine,rail,2024-06-27 16:58,16,8321.7,0.41,rain,delivered,0.0
SHP00094,Nairobi,Amsterdam,3758.1,food,truck,2024-04-24 02:09,2,8615.4,0.78,cloudy,delivered,0.0
SHP00095,Bangalore,Los Angeles,168.2,general,truck,2024-04-10 11:43,11,5887.1,0.86,rain,in_transit,0.0
SHP00096,Sydney,Paris,2410.2,general,rail,2024-09-16 07:41,7,6390.5,0.57,clear,delivered,0.0
SHP00097,Chennai,Hyderabad,322.2,electronics,rail,2024-05-19 03:06,3,8883.9,0.31,cloudy,delivered,0.0
SHP00098,Singapore,Cairo,3660.3,clothing,truck,2024-05-16 19:26,19,423.9,0.5,rain,delayed,15.32
SHP00099,Paris,Chicago,586.8,food,rail,2023-03-04 12:17,12,9685.2,0.96,cloudy,in_transit,0.0
SHP00100,Sydney,London,3244.4,general,truck,2023-02-21 10:15,10,7891.1,0.36,cloudy,in_transit,0.0
SHP00101,Singapore,London,4084.0,medicine,rail,2023-06-01 19:00,19,8598.2,0.32,rain,delayed,14.04
SHP00102,Berlin,Hyderabad,638.6,electronics,van,2023-01-16 11:50,11,5929.6,0.21,cloudy,in_transit,0.0
SHP00103,Toronto,Los Angeles,2677.8,electronics,air,2024-04-04 11:32,11,1179.6,0.6,storm,in_transit,0.0
SHP00104,Toronto,Sydney,2655.1,clothing,truck,2023-03-04 15:54,15,4320.1,0.29,fog,delivered,0.0
SHP00105,Bangalore,Chennai,1678.3,medicine,truck,2023-05-10 08:39,8,5528.7,0.46,storm,delivered,0.0
SHP00106,Houston,Shanghai,3066.6,electronics,truck,2024-11-01 20:56,20,7236.3,0.37,storm,delayed,15.07
SHP00107,Paris,Houston,1760.8,clothing,air,2024-03-01 23:06,23,4325.0,0.73,rain,delayed,12.61
SHP00108,Kolkata,São Paulo,4622.6,electronics,truck,2023-03-29 02:27,2,7471.4,0.5,clear,delayed,13.56
SHP00109,Delhi,Dubai,4787.5,general,rail,2024-11-17 03:26,3,8748.7,0.95,rain,delayed,18.5
SHP00110,Toronto,Delhi,4845.2,general,rail,2023-12-27 03:36,3,2206.1,0.73,storm,delayed,15.56
SHP00111,Chennai,Chicago,4242.3,food,truck,2023-10-13 18:14,18,8467.0,0.98,fog,delayed,17.75
SHP00112,Dubai,São Paulo,3249.2,electronics,rail,2023-01-30 05:17,5,9223.2,0.48,rain,delayed,13.08
SHP00113,Kolkata,Dubai,3321.0,electronics,van,2024-10-10 00:05,0,2229.8,0.54,storm,delayed,18.74
SHP00114,New York,Amsterdam,3635.8,general,truck,2023-02-23 04:10,4,592.6,0.27,storm,delayed,12.98
SHP00115,Los Angeles,Tokyo,3074.7,clothing,rail,2023-08-09 16:07,16,4356.1,0.43,rain,delivered,0.0
SHP00116,Tokyo,São Paulo,1611.3,medicine,air,2024-09-05 01:00,1,3084.1,0.37,cloudy,delayed,6.99
SHP00117,Berlin,Madrid,1707.8,electronics,air,2024-03-16 05:08,5,5372.6,0.38,fog,delivered,0.0
SHP00118,Bangalore,Los Angeles,4322.6,electronics,air,2023-01-20 14:58,14,8634.9,0.66,clear,delivered,0.0
SHP00119,Amsterdam,Chennai,2084.7,food,van,2024-09-24 14:53,14,972.5,0.88,rain,delayed,9.05
SHP00120,Singapore,Chicago,2667.4,clothing,rail,2023-12-14 07:21,7,856.2,0.71,cloudy,delayed,8.06
SHP00121,London,Nairobi,1811.9,medicine,van,2023-04-16 04:16,4,1817.6,0.32,cloudy,in_transit,0.0
SHP00122,Hyderabad,Nairobi,3176.9,clothing,air,2024-11-28 18:41,18,3299.8,0.98,storm,delayed,21.87
SHP00123,Houston,Bangalore,2397.7,food,rail,2024-08-28 01:22,1,834.5,0.57,storm,delayed,18.68
SHP00124,New York,Amsterdam,476.0,electronics,air,2024-04-18 18:35,18,4552.4,0.85,clear,delivered,0.0
SHP00125,Dubai,Miami,2556.7,electronics,air,2023-04-16 10:45,10,5095.0,0.34,clear,delayed,9.4
SHP00126,Houston,Miami,2667.9,general,van,2024-01-08 11:58,11,3935.4,0.82,rain,in_transit,0.0
SHP00127,Nairobi,Bangkok,3271.8,electronics,rail,2023-04-07 17:43,17,2913.1,0.78,fog,delayed,19.8
SHP00128,Dubai,Kolkata,1733.5,general,van,2023-12-25 09:41,9,1376.6,0.77,fog,delayed,15.5
SHP00129,Shanghai,Chicago,3253.1,food,van,2024-11-17 22:53,22,1025.2,0.74,storm,delayed,14.52
SHP00130,Mumbai,Chicago,1613.4,medicine,rail,2024-05-12 06:14,6,1634.0,0.44,cloudy,in_transit,0.0
SHP00131,Sydney,Madrid,4394.3,general,van,2024-09-03 12:09,12,1890.4,0.75,cloudy,in_transit,0.0
SHP00132,Toronto,Houston,314.1,food,van,2024-03-30 19:18,19,2416.6,0.39,fog,delivered,0.0
SHP00133,London,Chicago,3423.7,general,air,2024-04-17 09:49,9,5078.8,0.53,fog,delayed,16.38
SHP00134,London,Bangkok,778.2,food,truck,2024-10-18 15:55,15,5590.0,0.28,rain,in_transit,0.0
SHP00135,Amsterdam,Bangalore,3839.3,food,air,2024-06-09 04:53,4,1008.0,0.93,fog,delivered,0.0
SHP00136,Mumbai,Houston,361.0,general,rail,2023-08-30 12:05,12,2322.9,0.45,rain,delayed,12.61
SHP00137,São Paulo,Bangkok,1742.9,medicine,van,2023-02-09 09:58,9,6991.1,0.31,fog,delivered,0.0
SHP00138,Dubai,Mumbai,4538.7,electronics,rail,2023-08-09 04:35,4,5324.9,0.29,storm,delayed,15.97
SHP00139,Amsterdam,Chennai,334.0,clothing,air,2023-03-06 03:53,3,6007.7,0.21,fog,in_transit,0.0
SHP00140,São Paulo,Kolkata,1527.2,electronics,rail,2023-09-04 18:26,18,6677.3,0.27,cloudy,in_transit,0.0
SHP00141,Tokyo,Singapore,2585.9,general,truck,2024-02-04 15:02,15,9812.3,0.4,fog,delayed,15.96
SHP00142,Nairobi,Bangalore,1789.5,electronics,rail,2023-05-17 01:22,1,3451.6,0.71,storm,delivered,0.0
SHP00143,São Paulo,Miami,3195.5,medicine,truck,2024-04-13 01:18,1,533.7,0.36,cloudy,delayed,1.54
SHP00144,Amsterdam,Shanghai,2051.3,general,air,2023-09-17 01:48,1,2932.5,0.89,cloudy,delayed,12.08
SHP00145,Bangkok,Madrid,1438.8,food,air,2024-02-14 23:28,23,3456.5,0.35,fog,delivered,0.0
SHP00146,Nairobi,Tokyo,1406.9,electronics,air,2023-03-22 13:38,13,5500.2,0.46,cloudy,delayed,7.52
SHP00147,Sydney,Amsterdam,1601.8,general,air,2023-06-20 22:28,22,4526.6,0.78,rain,delivered,0.0
SHP00148,Berlin,Sydney,4902.1,electronics,truck,2024-11-18 20:25,20,5179.6,0.8,rain,delayed,17.11
SHP00149,Mumbai,Hyderabad,4258.5,clothing,truck,2023-05-10 02:15,2,3685.3,0.96,rain,delayed,15.15
SHP00150,Kolkata,São Paulo,2304.6,food,rail,2024-03-30 02:36,2,5341.7,0.52,cloudy,in_transit,0.0
SHP00151,Chennai,Mumbai,3704.8,clothing,air,2024-07-29 03:16,3,7070.0,0.37,rain,delivered,0.0
SHP00152,London,Chennai,765.1,electronics,air,2023-06-26 22:28,22,8124.1,0.97,clear,delivered,0.0
SHP00153,São Paulo,Bangalore,2795.0,food,rail,2023-06-11 22:45,22,7957.6,0.61,cloudy,delayed,3.44
SHP00154,London,Kolkata,1260.0,clothing,truck,2024-01-05 17:36,17,4727.3,0.99,rain,delayed,13.16
SHP00155,Bangalore,Chennai,1615.5,clothing,air,2024-02-24 18:04,18,9726.6,0.71,cloudy,delayed,11.46
SHP00156,Sydney,Tokyo,1788.1,general,van,2023-05-13 13:32,13,8330.8,0.61,clear,delayed,11.55
SHP00157,Hyderabad,New York,4680.2,medicine,rail,2024-06-15 09:54,9,2581.0,0.71,clear,delayed,12.87
SHP00158,Kolkata,Sydney,1583.8,general,truck,2024-05-29 20:10,20,9421.9,0.32,storm,delivered,0.0
SHP00159,Singapore,Delhi,4143.7,electronics,truck,2023-02-16 20:49,20,2720.1,0.37,storm,delayed,15.96
SHP00160,Dubai,Sydney,248.4,general,rail,2024-10-19 09:30,9,8066.4,0.75,cloudy,delayed,7.67
SHP00161,Bangalore,Toronto,393.6,clothing,air,2024-05-10 14:13,14,6105.9,0.45,rain,delivered,0.0
SHP00162,Chicago,Kolkata,3827.3,general,truck,2023-11-23 07:29,7,2748.0,0.4,clear,delayed,13.7
SHP00163,Amsterdam,Los Angeles,4334.4,clothing,van,2023-06-13 10:59,10,7239.2,0.35,storm,delayed,18.79
SHP00164,Tokyo,Houston,2543.9,food,air,2023-01-24 02:25,2,4626.6,0.39,storm,delayed,12.34
SHP00165,Delhi,Bangalore,1478.6,general,air,2023-10-20 17:00,17,4366.2,0.91,clear,delivered,0.0
SHP00166,New York,Delhi,2062.8,general,van,2024-01-07 17:18,17,3924.9,0.56,clear,in_transit,0.0
SHP00167,Kolkata,Chennai,2030.1,food,rail,2023-05-28 06:38,6,4073.7,0.23,storm,delayed,14.08
SHP00168,São Paulo,Madrid,4039.4,general,air,2023-06-02 19:57,19,1483.8,0.95,storm,delayed,20.86
SHP00169,Chicago,Bangkok,3722.7,food,rail,2024-06-03 16:34,16,7116.5,0.44,fog,delivered,0.0
SHP00170,Madrid,São Paulo,637.1,clothing,rail,2024-12-05 20:01,20,4798.4,0.97,storm,in_transit,0.0
SHP00171,Toronto,Delhi,2959.3,medicine,air,2023-06-01 21:15,21,5768.4,0.76,clear,delayed,13.11
SHP00172,Houston,Madrid,2152.0,clothing,van,2024-02-25 16:49,16,9213.2,0.9,storm,in_transit,0.0
SHP00173,São Paulo,Kolkata,2641.5,general,rail,2024-11-09 15:33,15,3206.2,0.34,fog,delivered,0.0
SHP00174,Shanghai,New York,3411.8,food,air,2023-07-16 07:17,7,3055.1,0.95,storm,delivered,0.0
SHP00175,São Paulo,London,3482.2,clothing,rail,2024-05-06 11:35,11,2949.1,0.66,rain,delayed,10.4
SHP00176,Chicago,New York,4777.6,medicine,rail,2023-02-13 09:45,9,3529.0,0.55,clear,delayed,12.79
SHP00177,Miami,London,1090.1,general,rail,2024-07-29 22:17,22,1181.3,0.79,cloudy,delayed,6.8
SHP00178,Delhi,São Paulo,4535.4,medicine,van,2023-02-23 03:26,3,7201.8,0.28,rain,in_transit,0.0
SHP00179,Shanghai,Hyderabad,2093.8,clothing,air,2024-10-28 06:48,6,3279.6,0.72,rain,in_transit,0.0
SHP00180,Bangkok,Singapore,1237.9,electronics,van,2024-03-03 05:59,5,9972.0,0.52,clear,delivered,0.0
SHP00181,Delhi,Mumbai,1562.1,general,truck,2023-12-10 09:29,9,5290.8,0.91,storm,delayed,13.01
SHP00182,Tokyo,Houston,1436.9,electronics,rail,2023-06-16 23:29,23,7214.1,0.21,rain,delayed,9.5
SHP00183,Amsterdam,Dubai,3404.6,medicine,van,2024-09-17 20:57,20,8287.2,0.61,fog,delayed,17.4
SHP00184,Sydney,Chennai,1005.4,medicine,air,2023-11-28 07:00,7,3897.4,0.56,rain,delayed,12.67
SHP00185,Madrid,Amsterdam,2954.1,general,truck,2023-09-25 20:23,20,715.0,0.29,cloudy,delayed,9.51
SHP00186,Chicago,São Paulo,2562.4,food,truck,2024-10-16 09:23,9,2286.4,0.97,storm,delayed,14.88
SHP00187,Houston,Cairo,4945.3,food,air,2024-12-19 17:58,17,7597.8,0.84,fog,delayed,17.58
SHP00188,Cairo,Paris,3433.7,general,truck,2024-06-22 14:33,14,873.2,0.65,rain,delayed,11.61
SHP00189,Shanghai,Tokyo,1090.6,general,van,2023-06-18 10:54,10,4474.2,0.74,storm,delayed,13.61
SHP00190,Miami,Bangalore,4504.6,clothing,truck,2024-04-09 04:32,4,4622.3,0.25,fog,delayed,12.12
SHP00191,Nairobi,Amsterdam,3644.1,clothing,rail,2023-01-04 23:13,23,823.0,0.54,storm,in_transit,0.0
SHP00192,Bangalore,Tokyo,255.5,clothing,van,2023-05-19 20:46,20,3807.2,0.91,fog,delayed,14.29
SHP00193,Chicago,Los Angeles,493.2,general,van,2024-10-31 11:07,11,9929.2,0.51,cloudy,delayed,11.58
SHP00194,Paris,Mumbai,3805.3,food,air,2024-11-20 23:34,23,5366.1,0.86,fog,delayed,15.7
SHP00195,New York,Kolkata,1450.7,electronics,truck,2024-11-07 13:39,13,2482.6,0.25,clear,delivered,0.0
SHP00196,Dubai,São Paulo,3546.1,electronics,van,2023-02-15 12:28,12,5443.6,0.8,cloudy,in_transit,0.0
SHP00197,Tokyo,Amsterdam,1247.4,general,rail,2024-08-14 19:49,19,2445.3,0.9,rain,in_transit,0.0
SHP00198,Los Angeles,Amsterdam,1448.3,general,van,2024-10-03 21:27,21,5006.6,0.98,storm,delivered,0.0
SHP00199,Nairobi,Tokyo,1661.8,clothing,air,2023-06-02 09:24,9,7568.7,0.58,cloudy,delivered,0.0
SHP00200,São Paulo,Kolkata,4048.3,electronics,air,2024-03-02 17:33,17,3945.3,0.4,cloudy,delayed,13.31
SHP00201,Bangalore,Miami,4251.0,electronics,van,2023-02-22 08:24,8,6068.9,0.9,storm,delayed,20.84
SHP00202,Cairo,Singapore,3649.1,general,van,2024-05-05 06:55,6,3101.6,0.93,rain,delayed,8.49
SHP00203,London,Cairo,674.8,clothing,van,2024-12-13 19:45,19,4026.7,0.39,cloudy,delayed,7.64
SHP00204,Amsterdam,Los Angeles,2384.6,food,rail,2023-09-25 11:32,11,4713.4,0.84,fog,delivered,0.0
SHP00205,London,Chicago,1633.3,electronics,van,2023-05-30 00:16,0,9354.1,0.66,storm,delayed,14.55
SHP00206,Kolkata,Paris,1716.3,clothing,van,2024-05-26 17:41,17,2647.5,0.86,rain,delivered,0.0
SHP00207,Houston,Hyderabad,3690.6,food,van,2023-05-24 23:34,23,1922.1,0.91,fog,in_transit,0.0
SHP00208,Tokyo,Delhi,4211.4,electronics,truck,2023-01-07 13:08,13,772.9,0.32,cloudy,delayed,17.34
SHP00209,Houston,New York,396.2,general,air,2024-11-06 15:01,15,5368.9,0.53,clear,delayed,4.48
SHP00210,Toronto,Berlin,2725.1,food,truck,2024-05-29 22:43,22,8081.1,0.93,fog,delayed,15.12
SHP00211,Chennai,Shanghai,829.6,medicine,rail,2023-12-29 08:50,8,882.3,0.97,fog,delayed,15.15
SHP00212,Paris,Toronto,1206.7,electronics,truck,2023-04-06 12:24,12,5571.7,0.24,fog,delayed,5.81
SHP00213,Hyderabad,Bangalore,2549.3,clothing,rail,2024-08-02 03:57,3,9199.6,0.38,storm,delivered,0.0
SHP00214,Berlin,Delhi,4628.4,food,truck,2023-07-03 10:01,10,5911.7,0.8,cloudy,delivered,0.0
SHP00215,Bangalore,Madrid,896.0,medicine,air,2024-11-24 17:21,17,7580.5,0.31,fog,in_transit,0.0
SHP00216,Tokyo,Cairo,4874.2,electronics,truck,2024-03-23 07:53,7,3471.9,0.82,clear,delivered,0.0
SHP00217,Cairo,Madrid,245.2,food,air,2024-05-17 07:22,7,9417.3,0.55,storm,delivered,0.0
SHP00218,Bangalore,Nairobi,3131.2,medicine,truck,2023-03-26 08:09,8,7145.6,0.71,fog,delayed,20.19
SHP00219,Madrid,Chicago,622.1,electronics,rail,2024-03-31 11:48,11,1112.1,0.27,rain,delivered,0.0
SHP00220,Chennai,Mumbai,539.1,general,truck,2024-09-03 19:50,19,8650.8,0.21,rain,delayed,11.71
SHP00221,Cairo,Bangalore,3651.7,general,van,2024-08-08 16:10,16,1778.1,0.42,fog,delayed,15.01
SHP00222,Kolkata,Bangalore,919.3,food,air,2023-11-03 15:50,15,3675.1,0.96,clear,delivered,0.0
SHP00223,Dubai,Bangkok,1058.2,electronics,van,2023-11-08 00:25,0,8432.0,0.5,rain,delivered,0.0
SHP00224,Madrid,Houston,4095.8,general,van,2023-11-04 10:38,10,4842.2,0.34,cloudy,delayed,9.1
SHP00225,Madrid,Amsterdam,3700.9,clothing,van,2023-11-30 12:17,12,3713.7,0.95,fog,delayed,19.21
SHP00226,Shanghai,Hyderabad,3440.4,general,truck,2024-04-17 22:13,22,7997.1,0.87,fog,delayed,10.34
SHP00227,Nairobi,Los Angeles,3397.6,medicine,rail,2023-09-05 08:42,8,7180.8,0.83,cloudy,delayed,16.06
SHP00228,Dubai,Miami,2953.0,general,air,2024-07-10 01:50,1,7046.2,0.85,rain,in_transit,0.0
SHP00229,Chennai,Nairobi,1316.3,food,van,2024-10-24 19:02,19,9837.7,0.74,storm,delayed,23.1
